timestamp,voltage_V,current_A,power_W
8.765,25.6800,1.46725,37.256
8.789,25.6887,1.47650,37.481
8.815,25.6638,1.43400,35.863
8.840,25.6800,1.44100,37.325
8.866,25.6738,1.42675,35.781
8.892,25.6700,1.42175,36.781
8.917,25.6800,1.39175,35.900
8.943,25.6800,1.41750,35.819
8.969,25.6762,1.43400,36.650
8.994,25.6675,1.41325,36.631
9.020,25.6738,1.42000,37.200
9.045,25.6738,1.39275,36.413
9.071,25.6700,1.42000,36.556
9.095,25.6738,1.38600,36.325
9.121,25.6800,1.35400,35.219
9.145,25.6887,1.35225,35.219
9.171,25.6762,1.38925,35.869
9.195,25.6975,1.34425,34.119
9.221,25.6850,1.34725,35.013
9.245,25.6950,1.34600,34.625
9.271,25.6850,1.33500,34.694
9.295,25.6850,1.35100,34.425
9.321,25.6825,1.30300,33.750
9.345,25.6825,1.35350,34.325
9.371,25.6800,1.35225,34.725
9.395,25.6800,1.34300,33.938
9.421,25.6800,1.35400,34.531
9.446,25.6887,1.34600,34.406
9.471,25.6950,1.32400,34.312
9.495,25.6738,1.31275,34.087
9.521,25.6850,1.32450,34.225
9.545,25.6850,1.31050,33.775
9.570,25.6825,1.31225,33.938
9.596,25.6850,1.31725,33.731
9.621,25.6800,1.28875,33.462
9.646,25.6800,1.33375,34.406
9.671,25.6738,1.34975,34.294
9.696,25.6825,1.32025,33.988
9.720,25.6825,1.33625,33.888
9.745,25.6800,1.33550,34.263
9.770,25.6850,1.34425,34.406
9.796,25.6887,1.34175,33.975
9.821,25.6738,1.34175,34.806
9.846,25.6800,1.33450,34.706
9.871,25.6825,1.34300,34.788
9.895,25.6762,1.41125,36.250
9.921,25.6675,1.38375,36.075
9.946,25.6738,1.36875,35.062
9.971,25.6675,1.39850,35.913
9.995,25.6700,1.38800,35.587
10.021,25.6738,1.39525,35.750
10.045,25.6800,1.40100,35.706
10.071,25.6762,1.38975,35.381
10.095,25.6913,1.38175,35.388
10.121,25.6887,1.40150,35.556
10.145,25.6850,1.40400,35.781
10.171,25.6887,1.39600,35.688
10.195,25.6700,1.39225,36.006
10.221,25.6762,1.39100,35.644
10.245,25.6800,1.37800,35.700
10.270,25.6762,1.35100,35.031
10.296,25.6762,1.33875,34.388
10.321,25.6825,1.34925,34.725
10.345,25.6762,1.34800,34.681
10.371,25.6700,1.38000,35.450
10.395,25.6825,1.37325,35.288
10.421,25.6738,1.37375,34.919
10.445,25.6738,1.36075,34.694
10.471,25.6762,1.37575,34.906
10.495,25.6913,1.36650,34.531
10.521,25.6638,1.38050,35.300
10.546,25.6762,1.35525,34.531
10.571,25.6850,1.36275,34.681
10.596,25.6800,1.35400,34.900
10.621,25.6738,1.35725,34.850
10.646,25.6762,1.36875,35.256
10.671,25.6762,1.35900,35.500
10.696,25.6762,1.36200,35.269
10.721,25.6638,1.39050,35.669
10.746,25.6850,1.38425,35.494
10.771,25.6738,1.38375,35.381
10.795,25.6638,1.37875,35.369
10.822,25.6700,1.38000,35.644
10.848,25.6825,1.40700,36.638
10.874,25.6638,1.45625,36.956
10.899,25.6675,1.46500,37.275
10.925,25.6612,1.45375,37.100
10.950,25.6575,1.48150,37.931
10.976,25.6638,1.44650,37.244
11.002,25.6675,1.45125,37.169
11.027,25.6575,1.46000,37.706
11.052,25.6700,1.44700,37.288
11.077,25.6575,1.45825,37.450
11.103,25.6887,1.46675,37.837
11.128,25.6513,1.49700,38.606
11.154,25.6638,1.49075,38.256
11.179,25.6612,1.46300,38.044
11.204,25.6675,1.48275,38.250
11.229,25.6762,1.47900,38.094
11.254,25.6612,1.46725,38.044
11.279,25.6575,1.48400,38.044
11.304,25.6638,1.48025,37.938
11.329,25.6950,1.49125,37.938
11.354,25.6762,1.47850,37.706
11.379,25.6612,1.50050,38.219
11.404,25.6575,1.49825,38.225
11.429,25.6612,1.50850,38.444
11.454,25.6700,1.50250,38.363
11.479,25.6487,1.53325,39.038
11.504,25.6550,1.48825,38.463
11.529,25.6638,1.49925,38.400
11.554,25.6550,1.50725,39.919
11.579,25.6612,1.49750,38.781
11.604,25.6575,1.48900,38.413
11.629,25.6575,1.49325,38.669
11.654,25.6513,1.50425,38.781
11.679,25.6762,1.49750,38.900
11.704,25.6550,1.50925,38.669
11.729,25.6638,1.52025,38.781
11.754,25.6612,1.50425,38.731
11.779,25.6738,1.52225,38.900
11.804,25.6762,1.52350,38.925
11.829,25.6612,1.53700,39.119
11.854,25.6575,1.51100,38.769
11.879,25.6450,1.52950,38.981
11.904,25.6675,1.52150,38.894
11.929,25.6700,1.51550,39.213
11.954,25.6700,1.51100,38.669
11.979,25.6638,1.52275,39.200
12.004,25.6550,1.52025,39.394
12.029,25.6487,1.51100,39.069
12.054,25.6575,1.51975,39.300
12.079,25.6612,1.52650,39.125
12.104,25.6612,1.52350,39.413
12.129,25.6612,1.53750,39.156
12.154,25.6513,1.53375,39.263
12.179,25.6550,1.58875,40.531
12.204,25.6550,1.57750,40.325
12.229,25.6487,1.59050,40.513
12.254,25.6450,1.58875,40.488
12.279,25.6487,1.58500,40.900
12.304,25.6513,1.57575,40.231
12.329,25.6550,1.58550,40.756
12.354,25.6513,1.56100,40.144
12.379,25.6487,1.59900,41.306
12.404,25.6575,1.59350,41.025
12.429,25.6450,1.61875,41.913
12.454,25.6487,1.59975,41.350
12.479,25.6487,1.60650,41.269
12.504,25.6425,1.60525,41.219
12.529,25.6400,1.61875,41.513
12.554,25.6425,1.60775,41.163
12.579,25.6550,1.63225,41.812
12.604,25.6425,1.63550,41.831
12.629,25.6425,1.62550,41.588
12.654,25.6513,1.61375,40.981
12.679,25.6425,1.64350,41.900
12.704,25.6450,1.63800,41.338
12.729,25.6550,1.62200,41.719
12.754,25.6487,1.63550,41.531
12.779,25.6487,1.62000,41.731
12.804,25.6513,1.62375,41.688
12.829,25.6425,1.60700,41.669
12.854,25.6513,1.61950,41.644
12.879,25.6487,1.60900,41.606
12.904,25.6487,1.59675,41.338
12.929,25.6575,1.60700,41.163
12.954,25.6513,1.61750,41.062
12.979,25.6612,1.62875,41.394
13.004,25.6337,1.59900,40.869
13.029,25.6450,1.61275,41.250
13.054,25.6400,1.60150,41.094
13.080,25.6337,1.60775,41.188
13.106,25.6513,1.62000,41.994
13.132,25.6400,1.62750,41.931
13.158,25.6400,1.63100,41.525
13.184,25.6450,1.63425,41.625
13.210,25.6513,1.62625,41.706
13.236,25.6487,1.62200,41.812
13.261,25.6487,1.62800,41.781
13.287,25.6425,1.63675,41.863
13.312,25.6450,1.62075,41.394
13.337,25.6450,1.62550,41.763
13.362,25.6513,1.62500,41.606
13.387,25.6425,1.61325,41.913
13.412,25.6450,1.61275,41.644
13.437,25.6487,1.61375,41.513
13.462,25.6450,1.61700,41.450
13.487,25.6450,1.61275,41.731
13.512,25.6450,1.61150,41.431
13.537,25.6400,1.62250,41.625
13.562,25.6575,1.61625,41.788
13.587,25.6400,1.62300,41.588
13.612,25.6363,1.63300,41.544
13.637,25.6300,1.61500,41.350
13.662,25.6487,1.61025,41.269
13.687,25.6487,1.62875,41.450
13.712,25.6400,1.63675,41.881
13.737,25.6738,1.65025,42.394
13.762,25.6887,1.61625,41.844
13.787,25.6425,1.63675,42.119
13.812,25.6425,1.63975,42.119
13.837,25.6400,1.63300,42.413
13.862,25.6400,1.62425,41.994
13.887,25.6400,1.63050,42.138
13.912,25.6400,1.66675,42.538
13.937,25.6400,1.65075,42.606
13.962,25.6400,1.65825,42.069
13.987,25.6337,1.65750,42.406
14.012,25.6400,1.66250,42.438
14.037,25.6700,1.65150,42.438
14.062,25.6425,1.66550,42.438
14.087,25.6400,1.66425,42.619
14.112,25.6337,1.64475,41.975
14.137,25.6400,1.59475,40.869
14.163,25.6487,1.58925,40.431
14.188,25.6450,1.59475,40.825
14.214,25.6450,1.58750,40.469
14.240,25.6487,1.58550,40.888
14.266,25.6513,1.59350,41.269
14.292,25.6400,1.58500,40.881
14.317,25.6513,1.60100,40.769
14.343,25.6337,1.60275,40.825
14.369,25.6425,1.59775,40.819
14.395,25.6450,1.58675,40.963
14.421,25.6612,1.59775,41.113
14.445,25.6487,1.58250,40.981
14.471,25.6487,1.59475,40.825
14.497,25.6400,1.59975,41.338
14.522,25.6487,1.57875,40.531
14.548,25.6450,1.60150,40.481
14.574,25.6400,1.57875,40.375
14.599,25.6450,1.58800,40.225
14.624,25.6425,1.57875,40.231
14.650,25.6487,1.57075,40.450
14.676,25.6363,1.56825,40.613
14.702,25.6400,1.57950,40.713
14.728,25.6450,1.60700,40.600
14.754,25.6363,1.57875,40.419
14.780,25.6513,1.57325,40.544
14.806,25.6487,1.56900,40.519
14.831,25.6425,1.57875,40.613
14.856,25.6487,1.58125,40.881
14.882,25.6450,1.58300,40.531
14.908,25.6400,1.59600,40.656
14.934,25.6487,1.56650,40.562
14.959,25.6487,1.60275,40.713
14.985,25.6450,1.57575,40.625
15.012,25.6513,1.60400,40.819
15.037,25.6450,1.60575,40.681
15.062,25.6363,1.59550,40.938
15.087,25.6363,1.57200,40.931
15.112,25.6487,1.58500,40.788
15.137,25.6513,1.58175,40.900
15.162,25.6425,1.58925,40.788
15.187,25.6487,1.57500,40.613
15.212,25.6400,1.59175,40.656
15.237,25.6450,1.59550,41.144
15.263,25.6400,1.61750,41.044
15.289,25.6363,1.60475,40.981
15.314,25.6300,1.58500,40.825
15.340,25.6337,1.59425,40.625
15.366,25.6487,1.58750,40.450
15.391,25.6363,1.58175,40.513
15.417,25.6425,1.59100,40.725
15.443,25.6487,1.58000,40.794
15.469,25.6400,1.60525,41.463
15.495,25.6487,1.58175,40.569
15.521,25.6450,1.59100,40.644
15.546,25.6425,1.58925,40.356
15.571,25.6513,1.59300,40.562
15.597,25.6363,1.58800,40.681
15.623,25.6513,1.58125,40.744
15.649,25.6425,1.58500,40.969
15.675,25.6425,1.57625,40.531
15.700,25.6300,1.59775,40.569
15.726,25.6450,1.58675,40.706
15.752,25.6337,1.58175,40.450
15.777,25.6363,1.58800,40.706
15.803,25.6550,1.59725,40.881
15.828,25.6400,1.57375,40.562
15.854,25.6425,1.58375,40.663
15.879,25.6400,1.57500,40.519
15.904,25.6425,1.58800,40.694
15.929,25.6450,1.57275,40.438
15.954,25.6450,1.58500,40.263
15.979,25.6550,1.58425,40.500
16.004,25.6425,1.57875,40.450
16.029,25.6337,1.57700,40.406
16.054,25.6363,1.57950,40.200
16.079,25.6638,1.60525,40.675
16.104,25.6300,1.61700,41.194
16.129,25.6487,1.58550,40.675
16.154,25.6425,1.59725,40.469
16.179,25.6400,1.58375,40.738
16.204,25.6363,1.58875,40.613
16.229,25.6400,1.56900,40.919
