timestamp,voltage_V,current_A,power_W,soc_pct
0.9956,26.4013,0.96025,24.925,68.0
0.9972,26.3712,0.96450,24.975,66.9
0.9987,26.3675,0.95450,24.700,66.7
1.0002,26.3650,0.93975,24.825,66.7
1.0031,26.3925,0.96925,24.956,67.7
1.0046,26.3900,0.93750,24.988,67.6
1.0061,26.3562,0.94600,25.213,66.3
1.0076,26.3925,0.94225,25.150,67.7
1.0104,26.4050,0.93800,25.138,68.1
1.0120,26.3800,0.94850,24.938,67.2
1.0135,26.3675,0.94225,24.913,66.7
1.0151,26.3712,0.95275,24.975,66.9
1.0179,26.3738,0.96625,25.006,67.0
1.0207,26.3738,0.99450,24.944,67.0
1.0226,26.3775,0.93250,25.275,67.1
1.0255,26.3837,0.95450,25.425,67.3
1.0283,26.3738,0.95325,25.675,67.0
1.0297,26.3675,0.96325,25.906,66.7
1.0313,26.3712,0.97425,26.081,66.9
1.0328,26.3950,0.97600,24.994,67.8
1.0343,26.3738,0.94300,25.150,67.0
1.0358,26.3800,0.94900,25.231,67.2
1.0374,26.4013,0.94350,25.131,68.0
1.0390,26.3987,0.96825,25.263,67.9
1.0405,26.3712,0.94725,25.331,66.9
1.0420,26.3837,0.94550,25.169,67.3
1.0435,26.3950,0.94775,25.919,67.8
1.0452,26.3837,0.93750,25.438,67.3
1.0467,26.3987,0.94900,25.588,67.9
1.0482,26.3950,0.95400,24.844,67.8
1.0498,26.3863,0.93925,24.713,67.4
1.0514,26.4050,0.93750,24.738,68.1
1.0530,26.3837,0.94475,24.850,67.3
1.0558,26.3775,0.95225,24.988,67.1
1.0575,26.3863,0.94225,24.769,67.4
1.0603,26.3837,0.96375,24.988,67.3
1.0630,26.4075,0.96700,25.006,68.2
1.0646,26.3950,0.96700,25.069,67.8
1.0661,26.3775,0.95775,24.713,67.1
1.0691,26.3863,0.95775,25.019,67.4
1.0707,26.3987,0.94475,24.763,67.9
1.0723,26.3987,0.94650,24.831,67.9
1.0740,26.3900,0.94725,25.163,67.6
1.0757,26.4200,0.96250,25.056,68.7
1.0785,26.4050,0.96700,25.163,68.1
1.0800,26.3800,0.95700,25.725,67.2
1.0815,26.3950,0.97500,26.206,67.8
1.0843,26.3987,0.94725,24.944,67.9
1.0858,26.3837,0.94900,24.850,67.3
1.0873,26.3863,0.94600,25.006,67.4
1.0888,26.3900,0.95100,25.025,67.6
1.0903,26.3837,0.95100,25.025,67.3
1.0932,26.3925,0.96700,25.163,67.7
1.0948,26.4050,0.95150,25.138,68.1
1.0965,26.3863,0.95450,24.944,67.4
1.0980,26.4050,0.94775,24.963,68.1
1.0996,26.3738,0.94350,24.769,67.0
1.1011,26.3650,0.94175,24.963,66.7
1.1027,26.3950,0.95275,25.019,67.8
1.1055,26.3800,0.94650,25.100,67.2
1.1072,26.3837,0.95025,24.850,67.3
1.1087,26.4112,0.93925,24.994,68.4
1.1102,26.4013,0.95225,25.056,68.0
1.1118,26.3950,0.94775,24.944,67.8
1.1133,26.3837,0.95400,24.894,67.3
1.1148,26.3987,0.97600,25.006,67.9
1.1165,26.3950,0.96125,25.056,67.8
1.1181,26.3900,0.97125,25.356,67.6
1.1197,26.3925,0.97050,24.988,67.7
1.1213,26.3837,0.97500,24.650,67.3
1.1229,26.3863,0.93800,25.181,67.4
1.1258,26.3712,0.97250,25.475,66.9
1.1273,26.3775,0.95950,25.788,67.1
1.1288,26.3837,0.95025,25.194,67.3
1.1305,26.3950,0.96500,25.713,67.8
1.1322,26.4013,0.98725,25.794,68.0
1.1337,26.3775,0.96575,25.469,67.1
1.1352,26.3800,0.97000,24.988,67.2
1.1367,26.4075,0.96250,25.069,68.2
1.1383,26.3775,0.96875,25.100,67.1
1.1398,26.3775,0.96075,25.088,67.1
1.1413,26.3738,0.96750,25.106,67.0
1.1428,26.4112,0.96250,25.019,68.4
1.1457,26.3837,0.94475,25.200,67.3
1.1485,26.4013,0.94050,24.906,68.0
1.1500,26.4050,0.93625,24.763,68.1
1.1529,26.3800,0.94650,24.994,67.2
1.1558,26.3900,0.94050,25.331,67.6
1.1573,26.3837,0.93750,25.019,67.3
1.1602,26.3837,0.94900,25.106,67.3
1.1620,26.4013,0.94100,25.088,68.0
1.1635,26.3900,0.96500,25.050,67.6
1.1650,26.3837,0.96825,25.069,67.3
1.1678,26.3863,0.94425,25.231,67.4
1.1695,26.4013,0.97725,25.119,68.0
1.1737,26.3900,0.92875,25.812,67.6
1.1766,26.4075,0.95325,25.038,68.2
1.1781,26.3800,0.94225,24.881,67.2
1.1797,26.3863,0.94725,24.994,67.4
1.1812,26.3837,0.95575,25.344,67.3
1.1827,26.4138,0.95575,24.956,68.4
1.1845,26.3837,0.95025,24.963,67.3
1.1873,26.4050,0.96025,24.825,68.1
1.1890,26.4075,0.94175,25.038,68.2
1.1905,26.3925,0.97600,24.894,67.7
1.1920,26.3837,0.95775,24.669,67.3
1.1935,26.3987,0.95275,24.863,67.9
1.1963,26.3800,0.96325,25.194,67.2
1.1979,26.4112,0.94050,24.794,68.4
1.1995,26.3900,0.95825,25.106,67.6
1.2010,26.3738,0.95150,25.244,67.0
1.2040,26.3837,0.96875,24.831,67.3
1.2056,26.4075,0.96200,25.025,68.2
1.2073,26.4112,0.96200,25.088,68.4
1.2088,26.3588,0.96250,24.938,66.4
1.2105,26.3837,0.95950,25.081,67.3
1.2120,26.3712,0.96375,25.038,66.9
1.2136,26.4112,0.95950,25.081,68.4
1.2151,26.4112,0.98050,25.231,68.4
1.2166,26.3775,0.97500,25.100,67.1
1.2182,26.3775,0.94725,25.588,67.1
1.2198,26.4013,0.95025,25.419,68.0
1.2215,26.3613,0.93425,25.025,66.5
1.2231,26.3950,0.95575,25.600,67.8
1.2245,26.3950,0.96025,25.469,67.8
1.2261,26.3987,0.94975,25.744,67.9
1.2277,26.3712,0.95275,25.419,66.9
1.2292,26.3925,0.95275,25.588,67.7
1.2307,26.3775,0.96625,25.681,67.1
1.2323,26.4013,0.95700,25.500,68.0
1.2338,26.3775,0.97550,25.500,67.1
1.2352,26.3775,0.94725,25.056,67.1
1.2367,26.3950,0.94050,25.306,67.8
1.2398,26.3738,0.94650,24.863,67.0
1.2412,26.3837,0.94175,24.944,67.3
1.2427,26.3712,0.93925,25.250,66.9
1.2441,26.3987,0.94050,24.875,67.9
1.2457,26.3925,0.93550,25.700,67.7
1.2472,26.3675,0.93800,24.894,66.7
1.2487,26.3837,0.93500,24.638,67.3
1.2501,26.3925,0.93850,24.763,67.7
1.2515,26.3837,0.95100,25.700,67.3
1.2530,26.4075,0.94550,24.956,68.2
1.2545,26.3950,0.94600,24.944,67.8
1.2559,26.3588,0.95100,24.988,66.4
1.2575,26.3712,0.95900,24.913,66.9
1.2589,26.3950,0.95525,24.844,67.8
1.2605,26.3837,0.96250,24.963,67.3
1.2619,26.3525,0.95400,24.913,66.2
1.2634,26.4013,0.95650,24.894,68.0
1.2649,26.3950,0.97850,25.138,67.8
1.2664,26.3588,0.96375,24.894,66.4
1.2679,26.3900,0.96325,25.038,67.6
1.2695,26.3925,0.95700,24.963,67.7
1.2709,26.3837,0.96575,25.131,67.3
1.2725,26.3925,0.95950,25.213,67.7
1.2739,26.3775,0.96875,25.088,67.1
1.2755,26.3925,0.95825,25.081,67.7
1.2769,26.3712,0.97000,24.925,66.9
1.2784,26.3800,0.96875,25.294,67.2
1.2799,26.3775,0.97725,25.375,67.1
1.2815,26.4138,0.95825,25.550,68.4
1.2829,26.3837,0.94900,25.331,67.3
1.2845,26.3925,0.94550,24.794,67.7
1.2860,26.3775,0.94175,25.644,67.1
1.2875,26.3837,0.94900,24.963,67.3
1.2890,26.3925,0.95225,24.944,67.7
1.2906,26.3925,0.95100,24.875,67.7
1.2924,26.3950,0.94350,24.863,67.8
1.2940,26.3738,0.94350,24.906,67.0
1.2955,26.4175,0.94550,24.688,68.6
1.2970,26.3775,0.93625,24.763,67.1
1.2986,26.3837,0.93375,24.669,67.3
